date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:18	1396/1396	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Mar%202015%2018:38:20%20GMT	http://bezirksseiten.nak-sued.de/robots.txt		(from )
19:38:19	10011/10011	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Mar%202015%2018:38:21%20GMT	http://bezirksseiten.nak-sued.de/	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/index.html	(from )
19:38:19	4945/4945	---M-Z	200	added ('OK')	text/css	etag:%221351-507080afc6840-gzip%22	http://bezirksseiten.nak-sued.de/typo3temp/stylesheet_993134cfc3.css?1415106009	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3temp/stylesheet_993134cfc37fc5.css	(from http://bezirksseiten.nak-sued.de/)
19:38:19	4460/4460	---M-Z	200	added ('OK')	text/css	etag:%22116c-50627bfaf9640-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/Css/aus_basic.css?1414142673	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/Css/aus_basic73cb.css	(from http://bezirksseiten.nak-sued.de/)
19:38:19	28060/28060	---M-Z	200	added ('OK')	text/css	etag:%226d9c-50cc3c2170d80-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/aus_slider/Resources/Public/Css/aus_slider.css?1421409798	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/aus_slider/Resources/Public/Css/aus_slider30c1.css	(from http://bezirksseiten.nak-sued.de/)
19:38:19	30914/30914	---M-Z	200	added ('OK')	text/css	etag:%2278c2-50d51e1c74bc0-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Css/aus_project.css?1422020215	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Css/aus_project24d2.css	(from http://bezirksseiten.nak-sued.de/)
19:38:20	604/604	---M-Z	200	added ('OK')	text/css	etag:%2225c-50a5185349dc0-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Css/startseite.css?1418720127	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Css/startseiteba4b.css	(from http://bezirksseiten.nak-sued.de/)
19:38:20	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Fri,%2024%20Oct%202014%2010:27:51%20GMT	http://bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Images/favicon.ico	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Images/favicon.ico	(from http://bezirksseiten.nak-sued.de/)
19:38:20	2681/2681	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202014%2010:27:51%20GMT	http://bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Images/logo_neuapostolische-kirche.jpg	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Images/logo_neuapostolische-kirche.jpg	(from http://bezirksseiten.nak-sued.de/)
19:38:20	517/517	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202014%2010:27:51%20GMT	http://bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Images/bg_image.jpg	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/nak_nakbezirke_de/Resources/Public/Images/bg_image.jpg	(from http://bezirksseiten.nak-sued.de/)
19:38:21	17582/17582	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Mar%202015%2018:38:23%20GMT	http://bezirksseiten.nak-sued.de/kontakt/	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/kontakt/index.html	(from http://bezirksseiten.nak-sued.de/)
19:38:21	117/117	---M-Z	200	added ('OK')	application/javascript	etag:%2275-50627bfaf9640-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/JavaScript/jquery.init.fancybox.min.js?1414142673	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/JavaScript/jquery.init.fancybox.min73cb.js	(from http://bezirksseiten.nak-sued.de/)
19:38:21	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%221762a-50627bfaf9640-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/JavaScript/jquery.1.11.1.min.js?1414142673	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/JavaScript/jquery.1.11.1.min73cb.js	(from http://bezirksseiten.nak-sued.de/)
19:38:22	3601/3601	---M-Z	200	added ('OK')	application/javascript	etag:%22e11-50627c25e3b80-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/aus_slider/Resources/Public/JavaScript/jquery.easing.1.3.min.js?1414142718	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/aus_slider/Resources/Public/JavaScript/jquery.easing.1.3.mincaef.js	(from http://bezirksseiten.nak-sued.de/)
19:38:22	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:%221c1f-50627c25e3b80-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/aus_slider/Resources/Public/JavaScript/jquery.migrate.1.2.1.min.js?1414142718	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/aus_slider/Resources/Public/JavaScript/jquery.migrate.1.2.1.mincaef.js	(from http://bezirksseiten.nak-sued.de/)
19:38:22	23207/23207	---M-Z	200	added ('OK')	application/javascript	etag:%225aa7-50627bfaf9640-gzip%22	http://bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/JavaScript/jquery.fancybox.min.js?1414142673	Z:/User/Stephan/Dokumente/nak-sued/template/bezirksseiten.nak-sued.de/bezirksseiten.nak-sued.de/typo3conf/ext/aus_basic/Resources/Public/JavaScript/jquery.fancybox.min73cb.js	(from http://bezirksseiten.nak-sued.de/)
